contract	open	high	low	close	change	chgRate	average	volume	turnover
2016-12-08	Au(T+D)	265.25	267.10	264.61	266.30	1.69	0.64%	265.95	73,960.00	19,669,662,000.00
2016-12-07	Au(T+D)	264.46	264.88	263.95	264.62	0.04	0.02%	264.46	37,038.00	9,795,069,000.00
2016-12-06	Au(T+D)	263.95	265.80	263.57	264.55	-0.44	-0.17%	264.58	86,936.00	23,001,526,000.00
2016-12-05	Au(T+D)	264.55	267.10	263.39	265.00	0.03	0.01%	265.34	139,580.00	37,036,156,000.00
2016-12-02	Au(T+D)	264.50	265.53	263.19	264.93	-0.42	-0.16%	264.54	74,114.00	19,606,118,000.00
2016-12-01	Au(T+D)	267.19	267.40	263.30	265.36	-2.22	-0.83%	265.44	122,556.00	32,531,264,000.00
2016-11-30	Au(T+D)	268.20	268.75	267.08	267.60	-1.05	-0.39%	267.85	63,162.00	16,917,942,000.00
2016-11-29	Au(T+D)	270.20	270.80	268.30	268.65	-1.90	-0.70%	269.76	64,502.00	17,400,060,000.00
2016-11-28	Au(T+D)	269.30	271.56	268.00	270.58	1.62	0.60%	269.94	73,518.00	19,845,450,000.00
2016-11-25	Au(T+D)	270.13	270.48	265.21	268.99	-1.13	-0.42%	267.88	135,614.00	36,328,280,000.00
2016-11-24	Au(T+D)	272.82	272.96	269.75	270.15	-2.65	-0.97%	270.62	110,924.00	30,018,252,000.00
2016-11-23	Au(T+D)	273.10	273.35	271.99	272.80	0.00	0.00%	272.75	53,902.00	14,701,770,000.00
2016-11-22	Au(T+D)	272.46	273.49	271.63	272.83	0.44	0.16%	272.84	55,816.00	15,228,837,000.00
2016-11-21	Au(T+D)	270.99	272.50	270.02	272.39	1.91	0.71%	271.22	60,482.00	16,403,928,000.00
